1510976946565533709 2022-04-04 08:45:51 -0500 <Marloncb52sd> @PatoCorrupto Pera,que papo é esse de de tomar alexandria,hilltop e etc?
1510973358980149254 2022-04-04 08:31:35 -0500 <MarlonOficial0> O Flamengo teve 2 técnicos na mesma edição de Libertadores nas últimas 4 temporadas.  2018: Carpegiani e Barbieri  2019: Abel Braga e Jorge Jesus 2020: Domènec e Rogério Ceni 2021: Rogério Ceni e Renato Gaúcho 2022: Paulo Sousa e (…)  https://t.co/uTuCwZaT6P
1510957188260540418 2022-04-04 07:27:20 -0500 <Bragaeduarddo> @MGRoque_12 hoje ao inves do marlon foi o merlin personal 🧙‍♂️
1510753186298187780 2022-04-03 17:56:42 -0500 <MarlonBraga18> @nozinhoviana @SuperesportesMG apenas fazendo de importante, nunca foi nada, sempre andou na sombra do irmão!
1510750079665295367 2022-04-03 17:44:22 -0500 <MarlonBraga18> @radioitatiaia @TornadoCruzeir1 @samuelvenancio Essa Alvimar sempre viveu na sombra do irmão, agora quer aparecer, pra cima dele torcida!
1510747267095007241 2022-04-03 17:33:11 -0500 <MarlonBraga18> Pra cima dele galera!
1510742301919879189 2022-04-03 17:13:27 -0500 <Marloncb52sd> @MadAnna_ Tapora,ai é foda(respondi só agr pq só vi a notificação com essa att que separa as notificações)
1510737104279646218 2022-04-03 16:52:48 -0500 <EnzoBBraga1> @pcscifi O que o Marlon Brando fez mesmo?
1510710739329294344 2022-04-03 15:08:02 -0500 <Marloncb52sd> De volta a civilização após ter o rolê mais louco da vida,sete pessoas em uma casa de roça completamente desconectado da internet e sinal de telefone por um dia e meio
1510691873765089290 2022-04-03 13:53:04 -0500 <MarlonBraga18> O amor é maior q todos os covardes q sucatearam e abandonaram o nosso Cruzeiro!
1510689814835830788 2022-04-03 13:44:53 -0500 <MarlonBraga18> @giovannimbaroni Sem Ronaldo, sem esperança, os conselheiro que tem dissernimento não pode titubear!
1510659653402865675 2022-04-03 11:45:02 -0500 <MarlonBraga18> Pura vdd, e eu vi em loco!
1510659423273951232 2022-04-03 11:44:07 -0500 <MarlonBraga18> @loud_babi @Cruzeiro Parecia q o Zeiro tinha sido campeão, viajei 500km de volta, tenho 52 anos, mas feliz igual um criança, o que esse Cruzeiro faz com a gente é brincadeira!
1510656518131224577 2022-04-03 11:32:35 -0500 <MarlonBraga18> Apesar da derrota, confio no futuro!  https://t.co/foCAiHt9DK
1510393432350633987 2022-04-02 18:07:10 -0500 <MarlondeLana_9> Abel Braga tem cara de ser aquele coroa do churras que bebe pra caralho e 4 horas da madruga ta contando histórias e a mlkada de 17 a 26 anos escuta com maior respeito !   viva bohemia kkkk
